season,team,date,time,roof,surface,attendance,temp(f),humidity (%),wind(mph),home,wins,losses,predictedToWin,points,pointsGivenUp,possessionTime,firstDowns,3rdDownConv%,4thDownAtt,4thDownConv%,yards,yardsGivenUp,turnovers,rushAtt,rushYds,rushTDs,passAtt,cmp%,passYds,passTDs,passINTs,sacks,allowedSacks,fumbleRec,penalties,opponent,oppWins,oppLosses,oppPoints,oppPointsGivenUp,oppPossessionTime,oppFirstDowns,opp3rdDownConv%,opp4thDownAtt,opp4thDownConv%,oppYards,oppYardsGivenUp,oppTurnovers,oppRushAtt,oppRushYds,oppRushTDs,oppPassAtt,oppCmp%,oppPassYds,oppPassTDs,oppPassINTs,oppSacks,oppAllowedSacks,oppFumbleRec,oppPenalties,win
2021,CLE,2021-09-19,01:00:00,outdoors,grass,67431,75,66,12,True,0,1,True,20.53,21.82,1839,20.12,38.28,1.71,42.31,340.65,311.53,1.29,28.53,145.35,1.18,30.59,62.83,212.88,1.24,0.82,2.53,2.88,0.35,6.59,HOU,1,0,16.47,26.59,1699,15.65,37.47,1.24,45.83,278.06,384.41,1.29,24.71,83.65,0.47,32.12,64.40,213.53,1.24,0.88,1.88,2.59,0.47,6.71,True
2021,DAL,2021-09-19,04:25:00,dome,turf,70240,,,,False,0,1,False,30.12,20.71,1794,22.24,43.75,1.29,59.09,391.71,351.35,1.12,27.24,122.00,0.94,37.65,68.26,281.65,2.24,0.65,2.29,2.24,0.41,7.59,LAC,1,0,27.88,27.00,1771,23.59,45.10,2.00,70.57,390.24,360.12,1.29,24.88,107.88,1.06,39.65,66.37,294.94,2.24,0.88,2.06,1.82,0.59,6.82,True
2021,DEN,2021-09-19,01:00:00,outdoors,grass,58461,80,87,7,False,1,0,True,19.71,18.94,1848,19.47,37.89,1.65,62.12,330.47,326.12,1.06,26.76,119.12,0.94,31.82,65.64,226.82,1.18,0.53,2.12,2.35,0.35,4.88,JAX,0,1,14.88,26.88,1642,17.88,35.33,1.82,67.22,305.35,353.06,1.71,23.06,103.24,0.76,35.53,60.27,216.12,0.71,1.00,1.88,1.88,0.12,6.12,True
2021,HOU,2021-09-19,01:00:00,outdoors,grass,67431,75,66,12,False,1,0,False,16.47,26.59,1699,15.65,37.47,1.24,45.83,278.06,384.41,1.29,24.71,83.65,0.47,32.12,64.40,213.53,1.24,0.88,1.88,2.59,0.47,6.71,CLE,0,1,20.53,21.82,1839,20.12,38.28,1.71,42.31,340.65,311.53,1.29,28.53,145.35,1.18,30.59,62.83,212.88,1.24,0.82,2.53,2.88,0.35,6.59,False
2021,IND,2021-09-19,01:00:00,dome,turf,63076,,,,True,0,1,False,26.62,20.88,1929,20.31,40.13,1.75,63.78,336.75,331.94,1.12,29.56,151.06,1.31,30.38,61.10,199.12,1.56,0.50,1.94,1.88,0.81,4.44,LAR,1,0,27.20,21.35,1798,21.00,43.39,1.00,47.92,376.20,334.35,1.40,25.85,98.30,0.60,35.40,68.29,291.90,2.35,0.95,2.75,1.80,0.35,4.40,False
2021,JAX,2021-09-19,01:00:00,outdoors,grass,58461,80,87,7,True,0,1,False,14.88,26.88,1642,17.88,35.33,1.82,67.22,305.35,353.06,1.71,23.06,103.24,0.76,35.53,60.27,216.12,0.71,1.00,1.88,1.88,0.12,6.12,DEN,1,0,19.71,18.94,1848,19.47,37.89,1.65,62.12,330.47,326.12,1.06,26.76,119.12,0.94,31.82,65.64,226.82,1.18,0.53,2.12,2.35,0.35,4.88,False
2021,KAN,2021-09-19,08:20:00,outdoors,grass,70417,82,38,8,False,1,0,True,29.00,21.39,1855,24.72,51.85,0.83,62.96,401.33,362.72,1.50,25.17,114.50,0.89,39.72,67.88,296.83,2.39,0.78,1.83,1.72,0.83,6.33,BAL,0,1,22.07,22.86,1948,22.00,36.90,1.57,70.00,359.71,359.50,1.43,29.36,135.50,1.14,35.36,63.95,244.14,1.00,1.00,2.21,3.50,0.36,6.07,False
2021,LAC,2021-09-19,04:25:00,dome,turf,70240,,,,True,1,0,True,27.88,27.00,1771,23.59,45.10,2.00,70.57,390.24,360.12,1.29,24.88,107.88,1.06,39.65,66.37,294.94,2.24,0.88,2.06,1.82,0.59,6.82,DAL,0,1,30.12,20.71,1794,22.24,43.75,1.29,59.09,391.71,351.35,1.12,27.24,122.00,0.94,37.65,68.26,281.65,2.24,0.65,2.29,2.24,0.41,7.59,False
2021,LAR,2021-09-19,01:00:00,dome,turf,63076,,,,False,1,0,True,27.20,21.35,1798,21.00,43.39,1.00,47.92,376.20,334.35,1.40,25.85,98.30,0.60,35.40,68.29,291.90,2.35,0.95,2.75,1.80,0.35,4.40,IND,0,1,26.62,20.88,1929,20.31,40.13,1.75,63.78,336.75,331.94,1.12,29.56,151.06,1.31,30.38,61.10,199.12,1.56,0.50,1.94,1.88,0.81,4.44,True
2021,LVR,2021-09-19,01:00:00,outdoors,grass,63707,77,60,4,False,1,0,False,21.83,25.83,1851,20.67,36.02,1.17,69.05,364.94,335.56,1.44,23.78,95.56,0.78,37.89,68.12,284.33,1.33,0.83,2.06,2.39,0.50,7.28,PIT,1,0,20.60,26.07,1715,18.60,39.39,1.47,46.67,304.80,374.73,1.07,22.67,86.40,0.60,38.27,63.62,234.47,1.47,0.60,3.07,2.53,0.53,6.13,True
2021,MIA,2021-09-19,01:00:00,outdoors,grass,65040,89,59,7,True,1,0,False,20.06,21.94,1831,19.12,40.07,1.29,58.33,307.41,337.53,1.53,26.00,92.24,0.71,36.18,65.97,231.53,1.24,0.82,2.82,2.35,0.71,6.18,BUF,0,1,29.44,17.00,1901,23.72,48.98,1.22,44.64,387.50,274.94,1.22,27.22,132.39,1.22,37.78,64.05,264.33,2.28,0.89,2.50,1.50,0.61,6.44,False
2021,MIN,2021-09-19,04:05:00,dome,grass,60115,,,,False,0,1,False,24.00,24.07,1745,19.21,35.01,1.29,49.07,348.29,382.14,0.79,26.21,109.57,0.50,34.14,64.43,252.00,1.93,0.50,2.79,1.93,0.43,5.71,ARI,1,0,25.56,22.22,1852,21.17,41.44,1.72,67.78,363.06,331.78,0.94,28.56,118.72,1.33,34.72,69.94,264.22,1.50,0.72,2.33,2.28,0.78,6.72,False
2021,NOR,2021-09-19,01:00:00,outdoors,grass,70675,83,65,4,False,1,0,True,21.41,19.71,1837,18.06,35.28,1.24,52.78,304.53,318.24,1.06,30.00,117.12,0.71,29.65,59.01,202.18,1.71,0.76,2.71,2.18,0.41,5.76,CAR,1,0,17.25,23.12,1859,18.88,36.01,2.00,30.61,298.44,289.38,1.62,27.00,107.75,1.00,34.88,59.51,210.38,0.81,1.25,2.44,3.00,0.38,6.31,False
2021,NWE,2021-09-19,01:00:00,outdoors,turf,75626,72,49,13,False,0,1,True,26.47,18.53,1845,21.47,44.34,1.24,66.67,351.65,305.82,1.35,28.35,132.56,1.38,32.47,68.28,241.24,1.41,0.82,2.12,1.71,0.35,5.59,NYJ,0,1,17.69,30.00,1666,18.38,36.32,1.81,49.52,303.31,395.62,1.62,22.19,100.06,0.81,35.56,57.85,228.88,1.12,1.19,1.62,3.25,0.44,6.06,True
2021,NYJ,2021-09-19,01:00:00,outdoors,turf,75626,72,49,13,True,0,1,False,17.69,30.00,1666,18.38,36.32,1.81,49.52,303.31,395.62,1.62,22.19,100.06,0.81,35.56,57.85,228.88,1.12,1.19,1.62,3.25,0.44,6.06,NWE,0,1,26.47,18.53,1845,21.47,44.34,1.24,66.67,351.65,305.82,1.35,28.35,132.56,1.38,32.47,68.28,241.24,1.41,0.82,2.12,1.71,0.35,5.59,False
