team,home,wins,losses,points,pointsGivenUp,possessionTime,firstDowns,3rdDownConv%,4thDownAtt,4thDownConv%,yards,yardsGivenUp,rushAtt,rushYds,rushTDs,passAtt,cmp%,passYds,passTDs,passINTs,allowedSacks,fumbleRec,penalties,turnovers,sacks,oppTurnovers,oppSacks
BAL,1,1.17261557916488,1.10101889927013,-0.187967228213427,-6.30264636029552e-03,1.63596887881578,0.851356696560738,-0.445845066651866,1.34305378164932,1.28310604872085,0.360897136457517,0.42604925076338,0.99302573194516,1.17918356745812,0.983139737035359,0.129781926416944,0.122841142642847,-0.200981589712747,-1.22661296649275,0.537027407162174,1.78004479878518,-1.02874632647239,-0.335708589790883,0.08488965820068763,-0.27889307014245146,0.0061107677028055364,0.8162042921755432
DAL,-1,2.07327267460685,0.41468506577314,1.66582325040188,-0.63230942663668,-0.125468942300957,0.961645188266699,0.993587285855557,0.590884386127457,0.583349165945003,1.25561275765374,0.153558007270394,0.290675092539515,0.515345122247082,0.330319002695993,0.759337954958284,1.22441036512132,0.924540431468958,1.42596666645036,-0.650917994590668,-0.164136387354584,-0.766706734905395,1.28343090119315,-0.7291588769440928,-0.11665642387311895,-0.886716657939857,-1.0495171399217793
DEN,1,0.872396547350895,1.78735273276713,-0.731438722565244,-1.14767314807352,0.492178085882835,-0.311267820172947,-0.237810317895318,1.557959323227,0.777690445029403,-0.456649262410529,-0.689994639763726,0.131652306258993,0.373726253935394,0.330319002695993,-0.843418222507224,0.554778958417469,-0.720684106558046,-0.841561084291334,-1.05821356090593,5.59371619730017e-03,-1.08115424478579,-1.60332437549549,-0.886716657939857,-0.46140929719545015,0.2687070693624125,-1.0495171399217793
KAN,-1,2.07327267460685,0.41468506577314,1.40790457511627,-0.434316584502753,0.572243441388142,2.10129293589498,2.69568977568185,-0.644822477944182,0.831567235270624,1.52458664127585,0.533708367824414,-0.39511067329524,0.146545986018726,0.167113819111152,1.32841261831225,1.12728825269862,1.38003028168326,1.74684323495155,-0.20968113108247,-0.966496876872582,1.43442583425737,-5.87505189646672e-02,0.2687070693624125,-1.0495171399217802,-0.886716657939857,-0.46140929719544926
PHI,1,1.47283461097887,1.10101889927013,0.601908714848746,6.64888397183539e-02,-0.228410113664923,8.39326084400835e-02,1.10916214627586,1.15501143276886,-0.801412621326351,0.334894463716502,-0.562274817660264,1.70200232077916,2.19264359381365,1.96237083854441,-1.39049966215669,-0.431777236192024,-1.12036294745755,-0.862952855524746,-0.583035400204791,-0.796766773320698,-1.76245718285998,-0.229186254857723,-0.886716657939857,-1.0495171399217802,-0.7291588769440928,-0.11665642387311805
ARI,1,2.07327267460685,0.41468506577314,0.615725786739047,-0.192648850721638,0.537929717600153,0.469942329410953,0.508172872090279,1.74600167210747,1.14071738879762,0.454562678051497,-0.500755322196818,0.727987754810955,0.354056966669881,1.60331943465776,-4.6163863219064e-02,1.65379233583219,0.401537263535152,-0.157024404822142,-0.4133289142401,-0.102416349699354,1.17238624269038,0.356686587274656,-1.2018322199313853,-0.03553810073845267,-1.5694670422548345,-0.704764266599448
ATL,1,0.872396547350895,1.78735273276713,-1.03080861352175,1.19912436310214,-1.31501136695122,-0.986784831871965,-0.525696788396802,0.913242698493971,-0.133083866191219,-1.20345720747775,0.588206616523012,-1.07427048970164,-1.28685332345549,-0.616271062096088,-0.323828312488388,0.467880226249792,-0.489338471172523,-0.841561084291334,0.129731840846914,5.59371619730017e-03,-0.452259225024999,-1.03875600034974,0.34748595986029457,-2.6110448602641045,-0.886716657939857,0.735085969040877
BUF,1,1.77305364279286,0.757851982521637,1.50922976897847,-1.71253508004384,1.0983872061373,1.6417575537868,2.09259914039772,0.40284203724699,-0.343459904275982,1.13790173374011,-2.40117277988288,0.28404914311116,1.02625485896877,1.24426803077111,0.795076943478099,0.148399593280397,0.40483791462366,1.51153375138401,0.163673138039852,-1.30595708397635,0.28145163136259,5.8424049461809e-02,-0.4665625752844864,0.3092147725838785,0.5838226313539409,-1.4753883363787768
CAR,-1,0.271958483722917,2.47368656626412,-1.29793867006756,6.94004991615003e-02,0.61799507310546,-0.582393695616771,-0.632866204422904,2.49817106762933,-1.24333057937636,-1.35220367950162,-1.91837847852843,0.211163699399254,-0.185373236586796,0.526165222997803,-2.177415810061e-03,-1.01195406566445,-1.21398141469527,-1.63305661992759,1.38555983698563,1.0085443280948,-0.923930489845592,-8.00549859512997e-02,0.5838226313539409,0.18753728788187912,-0.7554185071100535,0.6742472266898777
CHI,-1,0.572177515536906,2.13051964951562,-1.05844275730235,0.30815657349947,0.17191666386161,-0.256123574319966,-1.19182825663746,2.82052937999585,-0.580132947121341,-1.1030812987248,-1.00461336384581,0.522583322531946,0.353565234488243,-6.13734379076269e-02,-0.826923304728849,-0.792151390181503,-1.11076105338188,-1.35496359389323,1.14797075663506,1.64117471406091,-0.452259225024999,-0.154620620404511,0.8201593028475865,1.0798388423632073,-1.5957266724207952,0.8973226153102095
